impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-118936,A588951,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,11 YEARS,Male,Dachshund,Brown,07/02/2019 12:00:00 AM,Received on,12200 SE 207TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-07-02<p/> Found Near: 12200 SE 207TH ST, KENT WA 98031<p/> Description: Brown Male Dachshund Dog<p/> Age: 11 YEARS<p/>",
K19-118939,A588983,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588983,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,6 MONTHS,Spayed Female,Rabbit Sh,White,07/02/2019 12:00:00 AM,Received on,19700 INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588983,Image Copyright HLP Inc. 2019,"Received on: 2019-07-02<p/> Found Near: 19700 INTERNATIONAL BLVD, SEATAC WA 98188<p/> Description: White Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118941,A589019,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589019,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gyda,Dog,NO AGE,Female,Rottweiler / Mix,Black / Brown,07/02/2019 12:00:00 AM,Received on,2400 148TH AVE SE,BELLEVUE,WA,98007,BELLEVUE,0,0,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589019,Image Copyright HLP Inc. 2019,"Received on: 2019-07-02<p/> Found Near: 2400 148TH AVE SE, BELLEVUE WA 98007<p/> Description: Black / Brown Female Rottweiler / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118942,A589022,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589022,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kotaro,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,07/02/2019 12:00:00 AM,Received on,3200 SHOREWOOD DR,MERCER ISLAND,WA,98040,MERCER ISLAND,0,0,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589022,Image Copyright HLP Inc. 2019,"Received on: 2019-07-02<p/> Found Near: 3200 SHOREWOOD DR, MERCER ISLAND WA 98040<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-118935,A588943,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588943,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,NO AGE,Unaltered,Rabbit Sh,Fawn,07/02/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588943,Image Copyright HLP Inc. 2019,"Received on: 2019-07-02<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: Fawn Unaltered Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118985,A589202,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589202,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Basil,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,07/03/2019 12:00:00 AM,Received on,10000 SE 240TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589202,Image Copyright HLP Inc. 2019,"Received on: 2019-07-03<p/> Found Near: 10000 SE 240TH ST, KENT WA 98031<p/> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118964,A589102,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589102,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tickles,Cat,5 WEEKS,Female,Domestic Shorthair,Brn Tabby,07/03/2019 12:00:00 AM,Received on,2400 S 260TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589102,Image Copyright HLP Inc. 2019,"Received on: 2019-07-03<p/> Found Near: 2400 S 260TH ST, KENT WA 98032<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118975,A589193,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589193,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lola,Cat,1 YEAR,Spayed Female,Siamese,Choc Pt / Tan,07/03/2019 12:00:00 AM,Received on,300 CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589193,Image Copyright HLP Inc. 2019,"Received on: 2019-07-03<p/> Found Near: 300 CENTRAL AVE S, KENT WA 98032<p/> Description: Choc Pt / Tan Spayed Female Siamese Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118971,A589126,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,9 WEEKS,Female,Domestic Shorthair,Brn Tabby / White,07/03/2019 12:00:00 AM,Received on,9800 MYERS WAY S,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589126,Image Copyright HLP Inc. 2019,"Received on: 2019-07-03<p/> Found Near: 9800 MYERS WAY S, SEATTLE WA 98108<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118970,A589125,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,9 WEEKS,Male,Domestic Mediumhair,Brn Tabby / White,07/03/2019 12:00:00 AM,Received on,9800 MYERS WAY S,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589125,Image Copyright HLP Inc. 2019,"Received on: 2019-07-03<p/> Found Near: 9800 MYERS WAY S, SEATTLE WA 98108<p/> Description: Brn Tabby / White Male Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118997,A589222,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A589222,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Turtle,Dog,6 YEARS,Neutered Male,Terrier,Tan,07/04/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589222,Image Copyright HLP Inc. 2019,"Received on: 2019-07-04<p/> Description: Tan<p/>  Neutered Male Terrier Dog<p/> Age: 6 YEARS<p/> Adoption Fee: $225.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Turtle and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on July 4, 2019. <p/><p/>I'm a bit of a nervous guy and I'm looking for my new forever home that will give me lots of love and attention. I really like other dogs and would enjoy having a companion.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118997,A589222,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589222,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Turtle,Dog,6 YEARS,Neutered Male,Terrier,Tan,07/04/2019 12:00:00 AM,Received on,14800 SE 272ND ST,KENT,WA,98042,KENT,0,0,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589222,Image Copyright HLP Inc. 2019,"Received on: 2019-07-04<p/> Found Near: 14800 SE 272ND ST, KENT WA 98042<p/> Description: Tan Neutered Male Terrier Dog<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-119011,A586324,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A586324,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Danny,Cat,13 WEEKS,Neutered Male,Domestic Shorthair,Black,07/05/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A586324,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 13 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Danny and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on June 3, 2019.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-119033,A589332,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A589332,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Luna,Cat,1 YEAR,Spayed Female,American Shorthair,Black,07/05/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589332,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Description: Black<p/>  Spayed Female American Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Luna and I am available for adoption and would love to go home with my sister, Apollo (A589331)<p/><p/>I was brought in by my previous owner on July 5, 2019 because they had too many animals. I lived in a home with other cats and kids. My previous owner described me as loving and super sweet!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K19-119029,A589331,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A589331,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Apollo,Cat,1 YEAR,Spayed Female,American Shorthair,Br Brindle,07/05/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589331,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Description: Br Brindle<p/>  Spayed Female American Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Apollo and I am available for adoption and would love to go home with my sister, Luna (A589332)<p/><p/>I was brought in by my previous owner on July 5, 2019 because they had too many animals. I lived in a home with other cats and kids. My previous owner described me as loving and super sweet!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K19-119024,A584139,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584139,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sydney,Dog,2 YEARS 2 MONTHS,Spayed Female,American Staffordshire / Mix,Brown / White,07/05/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584139,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Description: Brown / White<p/>  Spayed Female American Staffordshire / Mix Dog<p/> Age: 2 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi, my name is Sydney!<p/><p/>I came to the shelter on 5/2/19.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p/><p/>I would do best in a home with older children.<p/><p/>Come meet me today!<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)    Sydney has had frequent urination and poorly concentrated urine.  Her white blood cell count is elevated indicating inflammation.  She is currently being treated with a combonation of anti-inflammatories and antibiotics to help resolve these conditions.  Follow up care with your veterinarian is needed.  Rechecking bloodwork and urine samples may be required.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>",BLUE
K19-119031,A585350,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A585350,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Socks,Cat,11 WEEKS,Neutered Male,Domestic Shorthair,Org Tabby / White,07/05/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585350,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 11 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K19-119017,A589261,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Boston Terrier,Black / White,07/05/2019 12:00:00 AM,Received on,10200 10TH AVE S,SEATTLE,WA,98168,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 10200 10TH AVE S, SEATTLE WA 98168<p/> Description: Black / White Female Boston Terrier Dog<p/> Age: NO AGE<p/>",
K19-119016,A091777,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Tawnie,Dead Dog,NO AGE,Spayed Female,Chihuahua - Smooth Coated / Mix,Tan,07/05/2019 12:00:00 AM,Received on,10200 10TH AVE S,SEATTLE,WA,98168,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 10200 10TH AVE S, SEATTLE WA 98168<p/> Description: Tan Spayed Female Chihuahua - Smooth Coated / Mix Dog<p/> Age: NO AGE<p/>",
K19-119038,A589337,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589337,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Brady,Cat,NO AGE,Unaltered,Domestic Shorthair,Black,07/05/2019 12:00:00 AM,Received on,11700 SE 200TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589337,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 11700 SE 200TH ST, KENT WA 98031<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119028,A022553,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A022553,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sandy,Dog,11 YEARS 10 MONTHS,Spayed Female,Pit Bull,Brown / White,07/05/2019 12:00:00 AM,Received on,2600 S 152ND ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A022553,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 2600 S 152ND ST, SEATAC WA 98188<p/> Description: Brown / White Spayed Female Pit Bull Dog<p/> Age: 11 YEARS 10 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119019,A589286,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589286,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Wolfie,Dog,4 YEARS,Neutered Male,Australian Cattle Dog,Gray / Black,07/05/2019 12:00:00 AM,Received on,27000 118TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589286,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 27000 118TH PL SE, KENT WA 98030<p/> Description: Gray / Black Neutered Male Australian Cattle Dog Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-119026,A589326,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589326,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pilar,Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby,07/05/2019 12:00:00 AM,Received on,300 CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589326,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 300 CENTRAL AVE S, KENT WA 98032<p/> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119039,A589338,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589338,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spaghetti,Cat,9 WEEKS,Neutered Male,Domestic Shorthair,Brn Tabby,07/05/2019 12:00:00 AM,Received on,33200 206TH PL SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589338,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 33200 206TH PL SE, AUBURN WA 98092<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-119041,A589340,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589340,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Meatball,Cat,9 WEEKS,Neutered Male,Domestic Shorthair,Brn Tabby,07/05/2019 12:00:00 AM,Received on,33200 206TH PL SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589340,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 33200 206TH PL SE, AUBURN WA 98092<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-119040,A589339,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589339,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marinara,Cat,9 WEEKS,Spayed Female,Domestic Shorthair,Brn Tabby,07/05/2019 12:00:00 AM,Received on,33200 206TH PL SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589339,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 33200 206TH PL SE, AUBURN WA 98092<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-119020,A589319,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,White / Gray,07/05/2019 12:00:00 AM,Received on,4000 SOUTHCENTER BLVD,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4000 SOUTHCENTER BLVD, TUKWILA WA 98188<p/> Description: White / Gray Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K19-119077,A589402,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589402,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,5 DAYS,Unaltered,Rabbit Sh,No Prvided,07/05/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589402,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: No Prvided Unaltered Rabbit Sh Rabbit Sh<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119080,A589405,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589405,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,5 DAYS,Unaltered,Rabbit Sh,No Prvided,07/05/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589405,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: No Prvided Unaltered Rabbit Sh Rabbit Sh<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119076,A589401,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589401,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,5 DAYS,Unaltered,Rabbit Sh,No Prvided,07/05/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589401,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: No Prvided Unaltered Rabbit Sh Rabbit Sh<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119079,A589404,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589404,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,5 DAYS,Unaltered,Rabbit Sh,No Prvided,07/05/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589404,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: No Prvided Unaltered Rabbit Sh Rabbit Sh<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119078,A589403,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589403,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,5 DAYS,Unaltered,Rabbit Sh,No Prvided,07/05/2019 12:00:00 AM,Received on,4500 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589403,Image Copyright HLP Inc. 2019,"Received on: 2019-07-05<p/> Found Near: 4500 S 313TH ST, AUBURN WA 98001<p/> Description: No Prvided Unaltered Rabbit Sh Rabbit Sh<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119057,A589384,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589384,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Male,Pit Bull / Labrador Retriever,Tan / Black,07/06/2019 12:00:00 AM,Received on,1300 SAUL RD,SUNNYSIDE,WA,98944,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589384,Image Copyright HLP Inc. 2019,"Received on: 2019-07-06<p/> Found Near: 1300 SAUL RD, SUNNYSIDE WA 98944<p/> Description: Tan / Black Male Pit Bull / Labrador Retriever Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-119056,A589382,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589382,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Miss Princess,Cat,5 YEARS,Female,Siamese,Seal Pt,07/06/2019 12:00:00 AM,Received on,13200 SE 276TH ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589382,Image Copyright HLP Inc. 2019,"Received on: 2019-07-06<p/> Found Near: 13200 SE 276TH ST, KENT WA 98042<p/> Description: Seal Pt Female Siamese Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-119055,A589381,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A589381,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Female,Domestic Shorthair,Black / White,07/06/2019 12:00:00 AM,Received on,20800 32ND LN S,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A589381,Image Copyright HLP Inc. 2019,"Received on: 2019-07-06<p/> Found Near: 20800 32ND LN S, SEATAC WA 98198<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
